TestID,Subject,Size,Time
0,bobble_sort,1000,0
1,bobble_sort,3000,6250
2,bobble_sort,5000,15625
3,bobble_sort,7000,37500
4,bobble_sort,9000,62500
5,bobble_sort,11000,96875
6,bobble_sort,13000,150000
7,bobble_sort,15000,209375
8,bobble_sort,17000,284375
9,bobble_sort,19000,371875
10,bobble_sort,21000,481250
11,bobble_sort,23000,593750
12,bobble_sort,25000,725000
13,bobble_sort,27000,862500
14,bobble_sort,29000,1018750
15,bobble_sort,31000,1184375
16,bobble_sort,33000,1362500
17,bobble_sort,35000,1556250
18,bobble_sort,37000,1753125
19,bobble_sort,39000,1959375
20,bobble_sort,41000,2184375
21,bobble_sort,43000,2425000
22,bobble_sort,45000,2665625
23,bobble_sort,47000,2925000
24,bobble_sort,49000,3196875
25,bobble_sort,51000,3475000
26,bobble_sort,53000,3768750
27,bobble_sort,55000,4068750
28,bobble_sort,57000,4443750
29,bobble_sort,59000,4946875
30,bobble_sort,61000,5053125
31,bobble_sort,63000,5403125
32,bobble_sort,65000,5784375
33,bobble_sort,67000,6150000
34,bobble_sort,69000,6534375
35,bobble_sort,71000,6928125
36,bobble_sort,73000,7303125
37,bobble_sort,75000,7734375
38,bobble_sort,77000,8196875
39,bobble_sort,79000,8634375
40,bobble_sort,81000,9075000
41,bobble_sort,83000,9475000
42,bobble_sort,85000,9971875
43,bobble_sort,87000,10462500
44,bobble_sort,89000,10953125
45,bobble_sort,91000,11600000
46,bobble_sort,93000,12096875
47,bobble_sort,95000,12681250
48,bobble_sort,97000,13243750
49,bobble_sort,99000,13890625
50,choice_sort,1000,0
51,choice_sort,3000,3125
52,choice_sort,5000,6250
53,choice_sort,7000,12500
54,choice_sort,9000,25000
55,choice_sort,11000,34375
56,choice_sort,13000,46875
57,choice_sort,15000,65625
58,choice_sort,17000,81250
59,choice_sort,19000,103125
60,choice_sort,21000,118750
61,choice_sort,23000,146875
62,choice_sort,25000,171875
63,choice_sort,27000,200000
64,choice_sort,29000,228125
65,choice_sort,31000,262500
66,choice_sort,33000,293750
